# time(s)	left	right
7.717718	5.330237	4.371355
7.727728	5.345293	4.352932
7.737738	5.360808	4.333811
7.747748	5.376792	4.313964
7.757758	5.393256	4.293363
7.767768	5.410211	4.271977
7.777778	5.427669	4.249775
7.787788	5.445638	4.226725
7.797798	5.464130	4.202792
7.807808	5.483155	4.177940
7.817818	5.502723	4.152134
7.827828	5.522843	4.125335
7.837838	5.543524	4.097501
7.847848	5.564775	4.068593
7.857858	5.586605	4.038567
7.867868	5.609020	4.007376
7.877878	5.626109	3.988313
7.887888	5.624650	3.996870
7.897898	5.604288	4.022929
7.907908	5.581593	4.054358
7.917918	5.559475	4.084635
7.927928	5.537926	4.113804
7.937938	5.516936	4.141910
7.947948	5.496497	4.168995
7.957958	5.476600	4.195100
7.967968	5.457233	4.220262
7.977978	5.438388	4.244520
7.987988	5.420052	4.267909
7.997998	5.402215	4.290463
8.008008	5.384867	4.312217
8.018018	5.367995	4.333201
8.028028	5.351589	4.353447
8.038038	5.335638	4.372983
8.048048	5.320128	4.391838
8.058058	5.305051	4.410039
8.068068	5.290393	4.427613
8.078078	5.276143	4.444583
8.088088	5.262291	4.460975
8.098098	5.248825	4.476812
8.108108	5.235733	4.492116
8.118118	5.223005	4.506909
8.128128	5.210630	4.521211
8.138138	5.198596	4.535042
8.148148	5.186894	4.548421
8.158158	5.175513	4.561368
8.168168	5.164441	4.573899
8.178178	5.153670	4.586032
8.188188	5.143189	4.597784
8.198198	5.132987	4.609171
8.208208	5.123055	4.620207
8.218218	5.113384	4.630908
8.228228	5.103964	4.641289
8.238238	5.094785	4.651362
8.248248	5.085839	4.661143
8.258258	5.077116	4.670643
8.268268	5.068607	4.679875
8.278278	5.060305	4.688851
8.288288	5.052199	4.697584
8.298298	5.044282	4.706084
8.308308	5.036546	4.714363
8.318318	5.028981	4.722431
8.328328	5.021581	4.730299
8.338338	5.014337	4.737977
8.348348	5.007242	4.745475
8.358358	5.000287	4.752803
8.368368	4.993466	4.759969
8.378378	4.986770	4.766984
8.388388	4.980192	4.773855
8.398398	4.973726	4.780592
8.408408	4.967363	4.787203
8.418418	4.961097	4.793696
8.428428	4.954921	4.800080
8.438438	4.948827	4.806362
8.448448	4.942809	4.812551
8.458458	4.936860	4.818653
8.468468	4.930974	4.824677
8.478478	4.925142	4.830630
8.488488	4.919359	4.836518
8.498498	4.913619	4.842350
8.508509	4.907913	4.848133
8.518519	4.902237	4.853873
8.528529	4.896582	4.859578
8.538539	4.890942	4.865253
8.548549	4.885312	4.870907
8.558559	4.879683	4.876546
8.568569	4.874050	4.882177
8.578579	4.868405	4.887805
8.588589	4.862742	4.893439
8.598599	4.857055	4.899084
8.608609	4.851335	4.904748
8.618619	4.845577	4.910437
8.628629	4.839773	4.916157
8.638639	4.833917	4.921916
8.648649	4.828001	4.927719
8.658659	4.822018	4.933574
8.668669	4.815960	4.939488
8.678679	4.809820	4.945466
8.688689	4.803591	4.951517
8.698699	4.797265	4.957646
8.708709	4.790834	4.963861
8.718719	4.784289	4.970169
8.728729	4.777624	4.976577
8.738739	4.770828	4.983092
8.748749	4.763895	4.989721
8.758759	4.756814	4.996472
8.768769	4.749577	5.003351
8.778779	4.742175	5.010367
8.788789	4.734599	5.017528
8.798799	4.726837	5.024840
8.808809	4.718882	5.032312
8.818819	4.710722	5.039951
8.828829	4.702346	5.047767
8.838839	4.693744	5.055766
8.848849	4.684905	5.063958
8.858859	4.675817	5.072351
8.868869	4.666468	5.080953
8.878879	4.656845	5.089774
8.888889	4.646937	5.098822
8.898899	4.636729	5.108107
8.908909	4.626208	5.117637
8.918919	4.615360	5.127422
8.928929	4.604171	5.137472
8.938939	4.592624	5.147797
8.948949	4.580705	5.158405
8.958959	4.568398	5.169308
8.968969	4.555685	5.180516
8.978979	4.542549	5.192038
8.988989	4.528971	5.203886
8.998999	4.514934	5.216069
9.009009	4.500417	5.228599
9.019019	4.485401	5.241487
9.029029	4.469864	5.254743
9.039039	4.453783	5.268379
9.049049	4.437138	5.282406
9.059059	4.419903	5.296835
9.069069	4.402055	5.311678
9.079079	4.383567	5.326945
9.089089	4.364414	5.342649
9.099099	4.344567	5.358800
9.109109	4.323998	5.375411
9.119119	4.302677	5.392493
9.129129	4.280572	5.410056
9.139139	4.257652	5.428112
9.149149	4.233883	5.446673
9.159159	4.209229	5.465748
9.169169	4.183654	5.485348
9.179179	4.157120	5.505484
9.189189	4.129587	5.526166
9.199199	4.101016	5.547402
